"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"25",2015,"MUNICIPIO",130150,412,0,366,18,145,112,61,49,19,7,0,1,393,18,21,26.25,22.9271844660194,6.75173502689731,53,100,134,114,4,7,53,0,0,322,37,291,121,135,277,4,408,0,0,2,394,0,0,396,0,16,39,39,40,39.2092457420925,1.59113770171063,5,157,37,25,183,392,20,278,134,401,5,1,118,8,169,26,57,3,2,4,1,18,372,0,40,0,0,223,189,53,0,0,322,37,24,358,30,2950,3280,3600,3263.9854368932,515.724199460384,39,314,50,4,367,9.82479784366577,0.700601787342689,10,400
"26",2015,"MUNICIPIO",130160,670,0,669,24,233,191,112,70,31,7,1,1,645,18,21,27,22.8044776119403,6.43600050435239,23,113,240,281,3,10,9,3,1,611,46,356,314,213,457,9,661,1,3,7,608,0,0,619,0,51,37,39,40,38.4417910447761,2.76623617161827,17,307,78,30,202,665,5,452,218,637,27,3,142,18,250,23,90,11,13,9,3,110,615,0,55,0,0,345,325,9,3,1,611,46,46,589,34,2900,3200,3500,3195.15994020927,522.515727474953,51,488,88,6,663,9.47234678624813,0.959305524397783,4,666
"27",2015,"MUNICIPIO",130165,334,0,252,10,91,91,63,44,29,6,0,0,324,19,23,29,24.3353293413174,6.76780115501269,35,78,97,100,5,15,15,0,0,273,1,247,87,102,232,12,322,0,2,2,280,0,0,284,0,50,38,40,40,38.9221183800623,2.73921348172105,2,170,26,26,81,62,272,238,95,315,11,1,66,15,127,19,30,2,6,10,1,41,309,1,21,3,0,167,167,15,0,0,273,1,38,274,22,2900,3207.5,3500,3168.40419161677,601.093703962484,23,233,37,3,309,9.5801282051282,0.889374206218869,0,325
"28",2015,"MUNICIPIO",130170,941,0,920,26,279,269,210,104,47,5,1,0,915,18,22,28,23.3113708820404,6.11901190844604,26,101,372,360,30,49,29,7,0,870,34,241,700,345,596,9,932,0,3,5,912,0,0,920,0,21,38,39,40,38.7121535181237,1.90384698728832,5,347,61,57,446,898,43,524,417,924,11,1,306,5,359,3,197,3,3,7,1,48,909,0,21,9,2,470,471,29,7,0,870,34,56,823,62,2942,3256,3592,3249.24973432519,536.840231702999,63,748,118,6,932,9.01599147121535,0.63242189011688,1,938
"29",2015,"MUNICIPIO",130180,441,0,291,6,123,136,74,57,28,16,0,1,434,19,23,29,24.4013605442177,7.00031804207259,92,155,114,72,1,4,67,8,0,315,47,252,189,121,320,11,430,0,0,3,394,0,0,397,0,44,38,40,40,39.1284403669725,2.31675920072348,3,242,49,30,64,409,32,365,75,425,9,6,97,4,224,5,36,2,5,5,6,46,313,0,125,2,1,242,199,67,8,0,315,47,32,358,36,3000,3200,3550,3230.72300469484,554.444852855335,38,301,55,2,313,9.8984126984127,0.819253206523323,0,441
"30",2015,"MUNICIPIO",130185,867,0,749,28,262,239,182,103,41,12,0,0,839,18,22,28,23.3886966551326,6.36296382014442,5,67,362,377,31,21,18,1,0,829,1,216,651,288,579,11,856,0,6,10,777,0,0,793,0,74,38,39,40,38.5067155067155,2.44116917174478,6,287,110,95,294,153,714,590,275,852,8,0,207,20,299,11,153,3,4,9,0,108,859,0,7,1,0,443,424,18,1,0,829,1,63,746,58,2933,3264,3600,3248.12802768166,575.823203065088,57,627,116,10,851,9.70150987224158,0.874900683510464,3,862
"31",2015,"MUNICIPIO",130190,2078,0,1980,41,555,612,418,280,145,23,4,0,2037,19,23,29,24.1063522617902,6.48257900816368,8,175,785,966,85,58,12,3,0,2055,5,1278,800,676,1402,31,2047,1,13,33,1862,0,0,1909,0,169,38,39,40,38.7006277160792,2.64523901771742,10,903,156,117,818,1905,173,1515,563,2061,7,0,557,10,867,6,331,2,2,27,0,256,1971,31,68,8,0,1093,985,12,3,0,2055,5,136,1796,146,2964,3280,3600,3262.64870067372,541.601221628844,148,1501,314,10,2001,9.87021382396818,0.523633406407875,1,2074
"32",2015,"MUNICIPIO",130195,293,0,224,7,91,87,42,49,10,5,2,0,286,18,22,28,23.5529010238908,6.72361154229459,46,61,97,81,1,6,3,0,0,239,50,63,230,83,210,4,289,0,0,2,53,0,0,55,0,238,42,42,42,41.2808219178082,1.91482963158761,22,45,10,17,179,290,3,247,46,282,0,0,75,3,160,2,26,0,0,4,0,12,232,0,45,16,0,155,138,3,0,0,239,50,22,253,18,2950,3250,3550,3214.32423208191,544.590609710421,47,221,17,1,234,9.65106382978723,0.624934984798088,0,290
"33",2015,"MUNICIPIO",130200,148,0,143,4,38,44,35,17,7,3,0,0,144,19,22,28,23.7837837837838,6.52002727399302,0,7,67,68,0,6,0,2,0,145,0,95,53,37,111,0,148,0,0,2,132,0,0,134,0,14,38,39,40,38.9387755102041,2.35896567128482,2,68,15,10,53,103,45,121,27,143,3,1,27,4,71,7,18,2,1,0,1,15,138,0,9,1,0,76,72,0,2,0,145,0,7,134,7,2986.25,3200,3545.5,3233.04054054054,460.573228733017,9,114,17,0,145,9.81379310344828,0.390622844821641,0,147
"34",2015,"MUNICIPIO",130210,169,0,143,8,39,44,39,17,17,3,1,1,160,19,24,29,24.5798816568047,7.44390594380378,3,23,61,58,1,6,8,0,0,120,39,70,99,35,134,2,167,0,0,0,156,0,0,156,0,13,38,39,40,38.6626506024096,2.19794454080493,0,61,16,24,56,132,37,156,13,165,3,1,22,4,88,12,12,1,2,2,1,22,138,2,27,0,2,87,82,8,0,0,120,39,8,155,6,2900,3196,3484,3172.02958579882,457.285448338702,11,134,15,2,150,9.11842105263158,1.06063963286883,5,164
